,usd_zar_logret_lag_1,usd_zar_logret_lag_2,platinum_logret_lag_1,Gold_logret_lag_2,Silver_logret_lag_2,Natural_Gas_logret_lag_1,Brent_Oil_logret_lag_1,Palladium_logret_lag_3,Lean_Hogs_logret_lag_1,Oats_logret_lag_4,RBOB_Gasoline_logret_lag_1,platinum_logret_roll_mean_10,platinum_logret_roll_std_10,Gold_logret_roll_mean_10,Gold_logret_roll_std_10,Silver_logret_roll_mean_10,Silver_logret_roll_std_10,Natural_Gas_logret_roll_mean_10,Natural_Gas_logret_roll_std_10,Brent_Oil_logret_roll_mean_10,Brent_Oil_logret_roll_std_10,Palladium_logret_roll_mean_10,Palladium_logret_roll_std_10,Lean_Hogs_logret_roll_mean_10,Lean_Hogs_logret_roll_std_10,Oats_logret_roll_mean_10,Oats_logret_roll_std_10,RBOB_Gasoline_logret_roll_mean_10,RBOB_Gasoline_logret_roll_std_10,gold_silver_spread,brent_wti_spread,platinum_palladium_spread,usd_zar_logret_roll_std_20,usd_zar_high_vol_flag,usd_zar_rsi_14,usd_zar_macd,usd_zar_bollinger_width_20,month_sin,month_cos
usd_zar_logret_lag_1,1.0,0.016522076250677333,-0.29190371090648504,-0.04918979587942708,-0.032268454802784535,-0.029330905874748816,-0.19617067870377589,-0.022488091200747864,-0.029412655597591052,-0.018388678090302046,-0.1592051043546893,-0.06491262651775402,0.021141809572675682,-0.08980517498185456,0.020516056847978244,-0.10146223421323136,0.021107675369960666,-0.005399042209184486,-0.014795013213870615,-0.05891368476447072,0.018344108724763865,-0.03554725016842702,0.025692123541662323,-0.030536765892846093,0.0007087748144569817,-0.01470342561035988,-0.005413324162607676,-0.05362101669084692,0.026824176668507903,0.2439473129325415,0.039574417829751886,-0.011080347953632493,-0.0026385749624716357,0.00700603651550792,0.3461638025243827,0.05597002743720843,0.025288188358657305,-0.008687750585255845,-0.005507541032448797
usd_zar_logret_lag_2,0.016522076250677333,1.0,-0.0433016310304074,-0.2602788600836393,-0.3172224239788674,-0.017452764612949784,-0.006738756219487808,-0.026953190937434632,-0.02687531607588321,0.009677898635352898,0.003298252053626621,-0.08203975645197673,0.034376539088432294,-0.0982824745985351,0.022687116525614857,-0.11587776289830364,0.029439267519904902,-0.011113171183395389,-0.009372969715475686,-0.06620993608424545,0.02535932725837955,-0.05332249066758312,0.03506261552778163,-0.030714283411425604,0.003842542793501957,-0.015322600988205138,0.001997428190597156,-0.05600009591759416,0.02730968102079056,0.01679710769410434,-0.027920534356695188,0.03952970165950285,0.010798389207270869,0.0111906905483369,0.3271506543878198,0.11129857298196626,0.0418597626863208,-0.006856628770993211,-0.0039829046247282065
platinum_logret_lag_1,-0.29190371090648504,-0.0433016310304074,1.0,0.054930296386499794,0.0832306859476209,0.03133523684985054,0.19442081566759786,-0.026415997297890997,0.03146685597282645,-0.0035854152576248383,0.1790951903843072,0.31144183477735654,-0.03286941697491124,0.16641209082027358,-0.033166536407466564,0.1945884192102457,-0.0327534098617295,0.0011174457227687363,0.022503774984646546,0.11000259253447314,-0.022556740480124533,0.02941534387396884,-0.005457653394210127,0.027825634088125488,0.01577483075923167,0.02779577797988496,-0.0027844558921143515,0.0763560583311291,-0.013380297604345278,-0.36165856356470616,-0.03801522628026981,0.11793789810403746,-0.00549448799482795,-0.0002101968613265925,-0.13150903591759597,-0.033087554970462715,-0.021942204600206603,0.02006433525030395,0.029980847343803123
Gold_logret_lag_2,-0.04918979587942708,-0.2602788600836393,0.054930296386499794,1.0,0.7342201251325357,0.00510040701637991,-0.0030505987352296864,0.0325323455762879,-0.008689505816080877,-0.01663495431131749,-0.009780456133659993,0.1405122886656745,-0.028783034787003094,0.2962298798422092,-0.03976285127590391,0.2245916084924379,-0.03517027059810656,0.021315333934659973,0.017192447268949303,0.04986767245735385,-0.0070126180105570465,0.026512662923356266,-0.004508353648433733,-0.003739387953198327,0.010128537338539485,0.009228026948508753,-0.004229309253411261,0.030259287049720456,0.010388410768528172,-0.044015295249472515,0.0230446931125526,0.005834207004471533,-0.012002266003148167,-0.004894149479466681,-0.10612834699091075,-0.027871646206671576,-0.029591470558496525,-0.0003267496276259167,0.01659375354321187
Silver_logret_lag_2,-0.032268454802784535,-0.3172224239788674,0.0832306859476209,0.7342201251325357,1.0,0.008861938689170798,0.0005054212264188379,0.040550306477735096,0.00545853620588529,-0.014248006773650495,-0.007854184474747849,0.18361379716901466,-0.026568544845791357,0.2335918327299933,-0.048064112908658044,0.3040001008489894,-0.05029173274854367,0.029722232509558844,0.026909935345801016,0.09279192876143581,-0.02044397681336055,0.04946982699972116,-0.021463807286721173,0.005120538608215916,0.005377279978474193,0.02340182133238888,-0.0036401085413038303,0.06755136682305557,-0.002032302702208275,0.024809107178470673,0.018735138239349258,-0.0013300455509884462,-0.019208461722265955,-0.01677813294537279,-0.12762906868802248,-0.0416529202217461,-0.02939614118384031,0.0010902653677512468,0.020208055054526507
Natural_Gas_logret_lag_1,-0.029330905874748816,-0.017452764612949784,0.03133523684985054,0.00510040701637991,0.008861938689170798,1.0,0.17816512808179433,-0.018307980913009315,0.009194080072160523,-0.004111112071660765,0.16690296730604412,0.016718295964559978,0.0142119165239458,0.007559316806868149,-0.009562149718115134,0.02495542754070428,-0.013384551815856393,0.30829106214195223,0.013385230428895513,0.04525865934147996,-0.014098406838398822,-0.01098817886433749,-0.00941505499573707,0.002059667109415617,0.01841017548559137,0.01892082249065207,-0.0008346385789837521,0.04006737362723783,-0.003401287835038824,-0.039122795086080596,-0.047277165658845925,-0.0026573761092853437,-0.002441261411022595,0.004170843900027314,-0.021179186770345092,-0.005791967619603456,0.010072147894180029,-0.018485486543046686,-0.0189977584261583
Brent_Oil_logret_lag_1,-0.19617067870377589,-0.006738756219487808,0.19442081566759786,-0.0030505987352296864,0.0005054212264188379,0.17816512808179433,1.0,-0.015328355488226213,0.03804139013715118,0.015698249751535467,0.7219149590010081,0.08026362906762458,-0.009416556382233767,0.04667602899103959,-0.021033583005272853,0.08133593933066599,-0.02231412517584817,0.07017288694833017,-0.017705509264297502,0.295803621819373,-0.02353369512961329,0.018202743876327965,-0.014171286790230693,0.034059973810149934,0.016088073640152797,0.036972580314603515,0.007631792495293555,0.2350953463148782,-0.010840920421082104,-0.19333724265120497,0.039281816622958154,-0.01218136348486608,0.008422667652343766,0.02865142104791927,-0.09331702532491318,-0.034914046642931074,0.007321694023169895,0.0314593553006191,-0.019676454078067958
Palladium_logret_lag_3,-0.022488091200747864,-0.026953190937434632,-0.026415997297890997,0.0325323455762879,0.040550306477735096,-0.018307980913009315,-0.015328355488226213,1.0,0.0038672429319450137,0.006438141057070283,-0.0213445123088184,0.04957263510157844,-0.013886676162076918,0.04633984107915077,-0.0018967926353883153,0.07503948844147923,0.0007930701512836658,-0.006206806153891779,-0.00041869549570995986,0.019786253457634566,-0.006164005190258844,0.3477428964885249,-0.053533296048812934,0.004753535907386594,-0.013507581987861887,-0.009196837955790004,0.013939479114167541,0.012019782505659347,-0.01688086643950146,-0.027435697481570688,-0.0024955448962984115,-0.004997286975692401,-0.006235297280963198,-0.025516099732190906,-0.05378587061193117,-0.026451914666359082,-0.022655052862851358,0.0006120443548213102,0.003187930393051049
Lean_Hogs_logret_lag_1,-0.029412655597591052,-0.02687531607588321,0.03146685597282645,-0.008689505816080877,0.00545853620588529,0.009194080072160523,0.03804139013715118,0.0038672429319450137,1.0,0.008104671254527084,0.04693766596598962,0.07243378623514465,0.008399792634327947,-0.035453004218453425,-0.035102637279193404,0.015863107706987855,-0.01097188809151102,0.041549665019384854,0.033355032286058614,0.08650351312353201,-0.06624543528467035,0.004083494385253721,0.0029427752116133223,0.9266100052190555,-0.14135318612139314,0.026172853102760053,0.04187647408158552,0.12866594917954466,-0.09970583761260962,-0.015553998614585157,-0.02115786070379675,0.0026105638983071667,0.020744378508680494,-0.00801721019545222,-0.07893934952703628,-0.05378485570520326,-0.021603838471492907,0.3998143189401831,0.06663833546330629
Oats_logret_lag_4,-0.018388678090302046,0.009677898635352898,-0.0035854152576248383,-0.01663495431131749,-0.014248006773650495,-0.004111112071660765,0.015698249751535467,0.006438141057070283,0.008104671254527084,1.0,0.009846513811809144,0.03356910267962348,-0.01329410557490813,0.023726116846244254,-0.016309455092891154,0.02919533022103453,-0.01534622955229459,0.008434482024546533,0.015398829535665574,0.01889176728937164,-0.0012645961872442832,0.026691760859901614,-0.018772841841043744,0.007630223810481905,-0.013156101338734414,0.31973081828518485,-0.04505197299417385,0.006655414171928254,0.009728486708436134,0.004598064462877109,-0.0029316875331464477,-0.008185508022471531,-0.02946897902808578,0.0007628550740290533,-0.028494384482162474,-0.03649537598378051,-0.03257799906134825,-0.008742370290748156,0.014179937200376181
RBOB_Gasoline_logret_lag_1,-0.1592051043546893,0.003298252053626621,0.1790951903843072,-0.009780456133659993,-0.007854184474747849,0.16690296730604412,0.7219149590010081,-0.0213445123088184,0.04693766596598962,0.009846513811809144,1.0,0.08869552225242576,-0.004708745630446523,0.044390891749938925,-0.019357190037451597,0.06372209871287798,-0.018018367118862143,0.057132332317455736,-0.004966291938652355,0.22494714583511774,-0.018713467270139297,0.00946569415274862,-0.010523442719149637,0.0499011442069157,0.01485969809177875,0.03569989398491159,0.003329569794816183,0.30288500413137914,-0.018093433351491182,-0.15207382821675364,-0.11098910422911537,0.0024850540913980584,0.00454026014999448,0.017548654109030375,-0.0738880031317541,-0.030950874717540478,-0.0011903393691451627,0.06980763707695459,-0.007674944597031128
platinum_logret_roll_mean_10,-0.06491262651775402,-0.08203975645197673,0.31144183477735654,0.1405122886656745,0.18361379716901466,0.016718295964559978,0.08026362906762458,0.04957263510157844,0.07243378623514465,0.03356910267962348,0.08869552225242576,1.0,-0.10320636364360006,0.49457363860173836,-0.13718293482388627,0.5930875300258195,-0.14385521518782507,0.03144480716153584,0.045851126504475564,0.30066803027405586,-0.11346822820047989,0.12236302161912674,-0.03664924094930631,0.08447418622749316,0.03164501258129844,0.09514637912854328,-0.016787396060218653,0.2788256538200326,-0.09312892934309515,-0.1252435697085653,0.0037155345363310637,0.02345281652389868,-0.055152386569856944,-0.025415419504651933,-0.2843473370269591,-0.24269781957352204,-0.1244638843933674,0.07270847308378799,0.08738668400614875
platinum_logret_roll_std_10,0.021141809572675682,0.034376539088432294,-0.03286941697491124,-0.028783034787003094,-0.026568544845791357,0.0142119165239458,-0.009416556382233767,-0.013886676162076918,0.008399792634327947,-0.01329410557490813,-0.004708745630446523,-0.10320636364360006,1.0,-0.1074869051997588,0.25847523389222826,-0.11288792316698996,0.3468095014780956,-0.007035005534094778,0.1697740932097616,-0.1268471107150963,0.24750288899540202,-0.04953610898942589,0.04385076496751736,0.010967869363882514,0.11257892848252864,-0.05143288291396647,0.02445594911250573,-0.13375023454693838,0.21444430398929423,0.011691616127836521,-0.008474362250228623,0.0026074366056252555,0.0713365745583341,0.04665046684221259,0.1409483409700909,0.21468435330680685,0.13348487494962885,-0.00580943586948355,-0.01612328957956809
Gold_logret_roll_mean_10,-0.08980517498185456,-0.0982824745985351,0.16641209082027358,0.2962298798422092,0.2335918327299933,0.007559316806868149,0.04667602899103959,0.04633984107915077,-0.035453004218453425,0.023726116846244254,0.044390891749938925,0.49457363860173836,-0.1074869051997588,1.0,-0.1287131917546948,0.7691562011761935,-0.12430469954785041,0.033795254499788485,0.07952769660440216,0.17131414175894927,-0.007152260173796332,0.10649784405776994,-0.027941969379455672,-0.023821546804822413,0.027153516547205603,0.05643596332544314,-0.013088935730213943,0.12342380380222946,0.030891287991112112,-0.09950564951064729,-0.0007312193430828866,0.007888325503703277,-0.05899594884351099,-0.0236855358134096,-0.2699748898653137,-0.17637556399682883,-0.1300002929083266,0.0118002451121005,0.04754853029543474
Gold_logret_roll_std_10,0.020516056847978244,0.022687116525614857,-0.033166536407466564,-0.03976285127590391,-0.048064112908658044,-0.009562149718115134,-0.021033583005272853,-0.0018967926353883153,-0.035102637279193404,-0.016309455092891154,-0.019357190037451597,-0.13718293482388627,0.25847523389222826,-0.1287131917546948,1.0,-0.17901449105637596,0.734467246813817,-0.0460288859672323,0.06627332267158158,-0.14410944323015437,0.3206868974255909,-0.03816882240248869,0.20595326570026487,-0.040287166713181964,-0.025078211934316398,-0.07873471247438427,0.014808408909638351,-0.14488577020487683,0.2826943416476834,0.030536074556940324,-0.0017412634490564266,-0.015788074125480906,0.31131206016407725,0.17727803586517685,0.1093357893641626,0.15833647184592867,0.2531674894455006,0.021778510451805688,-0.00805014113502509
Silver_logret_roll_mean_10,-0.10146223421323136,-0.11587776289830364,0.1945884192102457,0.2245916084924379,0.3040001008489894,0.02495542754070428,0.08133593933066599,0.07503948844147923,0.015863107706987855,0.02919533022103453,0.06372209871287798,0.5930875300258195,-0.11288792316698996,0.7691562011761935,-0.17901449105637596,1.0,-0.19177057935959435,0.07089449629550854,0.0678220868318035,0.2860205418642828,-0.08431671618269362,0.1733579602227684,-0.048292173549987084,0.016636934092690243,0.0333435168342079,0.08227393171824658,-0.007146492389303668,0.22812801080989403,-0.05078215799942149,-0.26814808740721235,-0.0015230124237411665,0.0068073832783100315,-0.07788077870855169,-0.055493131045683666,-0.31612554616525307,-0.2284284501789987,-0.12896890994057478,0.013790759478308,0.05650320166512996
Silver_logret_roll_std_10,0.021107675369960666,0.029439267519904902,-0.0327534098617295,-0.03517027059810656,-0.05029173274854367,-0.013384551815856393,-0.02231412517584817,0.0007930701512836658,-0.01097188809151102,-0.01534622955229459,-0.018018367118862143,-0.14385521518782507,0.3468095014780956,-0.12430469954785041,0.734467246813817,-0.19177057935959435,1.0,-0.03885796534851731,0.04309834279594504,-0.14935276178388132,0.27876328155860713,-0.028268877753953526,0.10381850074558514,-0.009995772335456241,0.0008624479158232894,-0.08302014601401683,-0.0005843719841937997,-0.15433968877128879,0.2309889445380468,0.04719570085679795,-0.0006909294992096772,-0.010360111295010735,0.29624110166648754,0.12464714978665895,0.11324531711460746,0.1679574229678125,0.2520023525629169,-0.04205145778924414,0.018416013246845827
Natural_Gas_logret_roll_mean_10,-0.005399042209184486,-0.011113171183395389,0.0011174457227687363,0.021315333934659973,0.029722232509558844,0.30829106214195223,0.07017288694833017,-0.006206806153891779,0.041549665019384854,0.008434482024546533,0.057132332317455736,0.03144480716153584,-0.007035005534094778,0.033795254499788485,-0.0460288859672323,0.07089449629550854,-0.03885796534851731,1.0,0.11541013756067353,0.19236097065942367,-0.050079759018741794,-0.03365601559647952,-0.016362834355461948,0.026488144414137223,0.045203976297530375,0.03444143872260657,0.02765125883008354,0.17525647302788144,-0.02176271916250846,-0.0143682714983454,-0.010346146134942034,-0.014618982144184325,-0.011895568989644131,0.01704190126005874,-0.04211078074545242,-0.03291135948309607,0.031742882218061666,-0.059995421474980944,-0.033082385780268744
